timestamps,X,Y,Z,IR,RED
14.9292,-0.171139,-0.089072,0.94777,125056,101847
14.976,-0.167136,-0.091074,0.963783,125345,101929
15.0228,-0.167136,-0.085069,0.950773,125478,101928
15.0696,-0.177144,-0.090073,0.953775,125672,101926
15.1164,-0.158128,-0.090073,0.970789,124988,101529
15.1632,-0.162132,-0.094076,0.962782,123991,101297
15.21,-0.175142,-0.088072,0.954776,123834,101282
15.2568,-0.171139,-0.091074,0.965785,123966,101398
15.3036,-0.168137,-0.091074,0.980797,124147,101464
15.3504,-0.166135,-0.094076,0.965785,124249,101512
15.3972,-0.171139,-0.099081,0.95978,124423,101597
15.444,-0.168137,-0.093076,0.960781,124412,101544
15.4908,-0.166135,-0.092075,0.964784,124567,101550
15.5376,-0.159129,-0.089072,0.967786,124774,101707
15.5844,-0.153124,-0.085069,0.977794,124973,101743
15.6312,-0.159129,-0.096078,0.977794,125183,101863
15.678,-0.173141,-0.095077,0.983799,125408,101867
15.7248,-0.177144,-0.091074,0.968787,125405,101940
15.7716,-0.173141,-0.091074,0.964784,125530,102000
15.8184,-0.164133,-0.089072,0.983799,125742,101999
15.8652,-0.166135,-0.093076,0.975793,125629,101818
15.912,-0.165134,-0.093076,0.960781,123930,101380
15.9588,-0.153124,-0.091074,0.945768,124103,101452
16.0056,-0.158128,-0.08607,0.962782,124304,101532
16.0524,-0.152124,-0.08607,0.956777,124488,101535
16.0992,-0.16013,-0.090073,0.958779,124655,101617
16.146,-0.168137,-0.091074,0.950773,124649,101577
16.1928,-0.165134,-0.087071,0.965785,124512,101618
16.2396,-0.168137,-0.088072,0.960781,124660,101593
16.2864,-0.168137,-0.097079,0.950773,124847,101722
16.3332,-0.176143,-0.092075,0.958779,125076,101890
16.38,-0.170138,-0.092075,0.964784,125630,101991
16.4268,-0.170138,-0.093076,0.95978,125727,102058
16.4736,-0.179146,-0.09808,0.956777,125944,102104
16.5204,-0.17214,-0.092075,0.94777,126132,102142
16.5672,-0.17214,-0.090073,0.958779,125257,101551
16.614,-0.157128,-0.085069,0.964784,124188,101312
16.6608,-0.158128,-0.087071,0.973791,124079,101352
16.7076,-0.177144,-0.089072,0.958779,124224,101516
16.7544,-0.180146,-0.096078,0.933759,124500,101609
16.8012,-0.163133,-0.088072,0.954776,124686,101688
16.848,-0.162132,-0.091074,0.961781,124775,101591
16.8948,-0.166135,-0.090073,0.952774,124642,101651
16.9416,-0.167136,-0.091074,0.970789,124786,101731
16.9884,-0.192156,-0.095077,0.920748,125038,101818
17.0352,-0.179146,-0.094076,0.929755,125385,101876
17.082,-0.162132,-0.087071,0.963783,125595,101951
17.1288,-0.167136,-0.097079,0.94777,125706,102084
17.1756,-0.161131,-0.094076,0.954776,125847,102128
17.2224,-0.165134,-0.092075,0.964784,125953,102052
17.2692,-0.164133,-0.083067,0.967786,125096,101480
17.316,-0.167136,-0.090073,0.962782,124126,101412
17.3628,-0.181147,-0.091074,0.950773,124290,101520
17.4096,-0.167136,-0.095077,0.958779,124511,101550
17.4564,-0.159129,-0.090073,0.950773,124732,101581
17.5032,-0.159129,-0.089072,0.964784,124669,101615
17.55,-0.167136,-0.092075,0.940764,124598,101593
17.5968,-0.174141,-0.093076,0.944768,124574,101626
17.6436,-0.173141,-0.092075,0.952774,124694,101695
17.6904,-0.181147,-0.093076,0.929755,124934,101729
17.7372,-0.174141,-0.085069,0.952774,125160,101797
17.784,-0.170138,-0.088072,0.965785,125517,101901
17.8308,-0.169137,-0.090073,0.962782,125666,101868
17.8776,-0.162132,-0.093076,0.978795,124858,101447
17.9244,-0.179146,-0.090073,0.953775,123983,101290
17.9712,-0.164133,-0.08607,0.967786,123960,101289
18.018,-0.164133,-0.092075,0.958779,124141,101380
18.0648,-0.178145,-0.088072,0.965785,124271,101482
18.1116,-0.174141,-0.085069,0.952774,124371,101551
18.1584,-0.159129,-0.085069,0.975793,124499,101478
