timestamps,IR,RED
27.2376,125254,101564
27.2844,124787,101178
27.3312,123528,100854
27.378,123313,100837
27.4248,123387,100965
27.4716,123665,100988
27.5184,123819,101114
27.5652,123972,101160
27.612,123959,101119
27.6588,124104,101268
27.7056,124377,101392
27.7524,124663,101467
27.7992,124955,101465
27.846,125101,101575
27.8928,125234,101570
27.9396,125303,101668
27.9864,125452,101518
28.0332,124185,100976
28.08,123420,100968
28.1268,123665,101072
28.1736,123819,101089
28.2204,123923,101176
28.2672,124044,101176
28.314,123980,101100
28.3608,123935,101154
28.4076,124041,101244
28.4544,124359,101397
28.5012,124635,101483
28.548,125215,101641
28.5948,125358,101643
28.6416,125446,101720
28.6884,125374,101348
28.7352,123778,100915
28.782,123363,100869
28.8288,123471,101027
28.8756,123712,101029
28.9224,123782,101099
28.9692,123914,101167
29.016,123990,101132
29.0628,124065,101277
29.1096,124357,101331
29.1564,124616,101431
29.2032,124871,101513
29.25,125047,101581
29.2968,125181,101630
29.3436,125298,101664
29.3904,125412,101707
29.4372,125600,101690
29.484,123398,100991
29.5308,123617,101038
29.5776,123839,101101
29.6244,123888,101171
29.6712,124052,101204
29.718,124087,101138
29.7648,124032,101108
29.8116,124094,101154
29.8584,124258,101283
29.9052,124528,101386
29.952,125093,101573
29.9988,125161,101632
30.0456,125339,101625
30.0924,125497,101654
30.1392,125057,101236
30.186,123697,100891
30.2328,123436,100904
30.2796,123576,101036
30.3264,123747,101062
30.3732,123943,101162
30.42,123931,101147
30.4668,124001,101213
30.5136,124156,101260
30.5604,124441,101338
30.6072,124698,101388
30.654,124885,101506
30.7008,124972,101548
30.7476,125153,101590
30.7944,125228,101547
30.8412,124393,101059
30.888,123403,100920
30.9348,123586,101031
30.9816,123717,101121
31.0284,123933,101090
31.0752,124022,101073
31.122,123854,101101
31.1688,123894,101119
31.2156,123948,101188
31.2624,124171,101295
31.3092,124473,101308
31.356,124876,101523
31.4028,124940,101539
31.4496,125042,101468
31.4964,124085,100997
31.5432,123268,100834
31.59,123225,100901
31.6368,123395,100960
31.6836,123551,100928
31.7304,123653,100952
31.7772,123764,100993
31.824,123703,101032
31.8708,123797,101105
31.9176,124019,101130
31.9644,124143,101232
32.0112,124319,101321
32.058,124460,101349
32.1048,124521,101370
32.1516,124641,101384
32.1984,124374,101021
32.2452,123428,100747
32.292,123361,100833
32.3388,123345,100896
32.3856,123495,100945
32.4324,123529,100928
32.4792,123463,100936
32.526,123519,100946
32.5728,123642,101003
32.6196,123788,101082
32.6664,123985,101146
32.7132,124112,101187
32.76,124438,101237
32.8068,124526,101127
32.8536,123577,100830
32.9004,122996,100713
32.9472,122961,100750
32.994,123157,100719
33.0408,123251,100755
33.0876,123294,100840
33.1344,123374,100898
33.1812,123343,100871
33.228,123477,100895
33.2748,123602,100985
33.3216,123751,101052
33.3684,123934,101095
33.4152,124028,101073
33.462,124068,101140
33.5088,124131,101176
33.5556,124255,101171
33.6024,123737,100822
33.6492,122953,100599
33.696,122996,100716
33.7428,123067,100779
33.7896,123168,100762
33.8364,123231,100823
33.8832,123207,100810
33.93,123209,100815
33.9768,123323,100886
