timestamps,X,Y,Z,activities
13.338,-0.17214,-0.092075,0.955777,2
13.3848,-0.176143,-0.090073,0.969788,2
13.4316,-0.175142,-0.090073,0.95978,2
13.4784,-0.173141,-0.094076,0.944768,2
13.5252,-0.175142,-0.095077,0.939764,2
13.572,-0.167136,-0.095077,0.965785,2
13.6188,-0.162132,-0.093076,0.957778,2
13.6656,-0.162132,-0.090073,0.977794,2
13.7124,-0.173141,-0.090073,0.963783,2
13.7592,-0.163133,-0.08607,0.968787,2
13.806,-0.166135,-0.090073,0.948771,2
13.8528,-0.168137,-0.092075,0.956777,2
13.8996,-0.169137,-0.093076,0.970789,2
13.9464,-0.173141,-0.099081,0.95978,2
13.9932,-0.167136,-0.088072,0.967786,2
14.04,-0.171139,-0.090073,0.962782,2
14.0868,-0.169137,-0.089072,0.960781,2
14.1336,-0.177144,-0.088072,0.94777,2
14.1804,-0.170138,-0.087071,0.964784,2
14.2272,-0.164133,-0.089072,0.964784,2
14.274,-0.161131,-0.08607,0.968787,2
14.3208,-0.168137,-0.088072,0.964784,2
14.3676,-0.173141,-0.093076,0.960781,2
14.4144,-0.165134,-0.08607,0.965785,2
14.4612,-0.165134,-0.089072,0.968787,2
14.508,-0.169137,-0.090073,0.955777,2
14.5548,-0.159129,-0.088072,0.957778,2
14.6016,-0.159129,-0.087071,0.963783,2
14.6484,-0.162132,-0.091074,0.949772,2
14.6952,-0.18415,-0.095077,0.939764,2
14.742,-0.171139,-0.093076,0.960781,2
14.7888,-0.167136,-0.093076,0.963783,2
14.8356,-0.169137,-0.096078,0.954776,2
14.8824,-0.167136,-0.095077,0.940764,2
14.9292,-0.171139,-0.089072,0.94777,2
14.976,-0.167136,-0.091074,0.963783,2
15.0228,-0.167136,-0.085069,0.950773,2
15.0696,-0.177144,-0.090073,0.953775,2
15.1164,-0.158128,-0.090073,0.970789,2
15.1632,-0.162132,-0.094076,0.962782,2
15.21,-0.175142,-0.088072,0.954776,2
15.2568,-0.171139,-0.091074,0.965785,2
15.3036,-0.168137,-0.091074,0.980797,2
15.3504,-0.166135,-0.094076,0.965785,2
15.3972,-0.171139,-0.099081,0.95978,2
15.444,-0.168137,-0.093076,0.960781,2
15.4908,-0.166135,-0.092075,0.964784,2
15.5376,-0.159129,-0.089072,0.967786,2
15.5844,-0.153124,-0.085069,0.977794,2
15.6312,-0.159129,-0.096078,0.977794,2
15.678,-0.173141,-0.095077,0.983799,2
15.7248,-0.177144,-0.091074,0.968787,2
15.7716,-0.173141,-0.091074,0.964784,2
15.8184,-0.164133,-0.089072,0.983799,2
15.8652,-0.166135,-0.093076,0.975793,2
15.912,-0.165134,-0.093076,0.960781,2
15.9588,-0.153124,-0.091074,0.945768,2
16.0056,-0.158128,-0.08607,0.962782,2
16.0524,-0.152124,-0.08607,0.956777,2
16.0992,-0.16013,-0.090073,0.958779,2
16.146,-0.168137,-0.091074,0.950773,2
16.1928,-0.165134,-0.087071,0.965785,2
16.2396,-0.168137,-0.088072,0.960781,2
16.2864,-0.168137,-0.097079,0.950773,2
16.3332,-0.176143,-0.092075,0.958779,2
16.38,-0.170138,-0.092075,0.964784,2
16.4268,-0.170138,-0.093076,0.95978,2
16.4736,-0.179146,-0.09808,0.956777,2
16.5204,-0.17214,-0.092075,0.94777,2
16.5672,-0.17214,-0.090073,0.958779,2
16.614,-0.157128,-0.085069,0.964784,2
16.6608,-0.158128,-0.087071,0.973791,2
16.7076,-0.177144,-0.089072,0.958779,2
16.7544,-0.180146,-0.096078,0.933759,2
16.8012,-0.163133,-0.088072,0.954776,2
16.848,-0.162132,-0.091074,0.961781,2
16.8948,-0.166135,-0.090073,0.952774,2
16.9416,-0.167136,-0.091074,0.970789,2
16.9884,-0.192156,-0.095077,0.920748,2
17.0352,-0.179146,-0.094076,0.929755,2
17.082,-0.162132,-0.087071,0.963783,2
17.1288,-0.167136,-0.097079,0.94777,2
17.1756,-0.161131,-0.094076,0.954776,2
17.2224,-0.165134,-0.092075,0.964784,2
17.2692,-0.164133,-0.083067,0.967786,2
17.316,-0.167136,-0.090073,0.962782,2
17.3628,-0.181147,-0.091074,0.950773,2
17.4096,-0.167136,-0.095077,0.958779,2
17.4564,-0.159129,-0.090073,0.950773,2
17.5032,-0.159129,-0.089072,0.964784,2
17.55,-0.167136,-0.092075,0.940764,2
17.5968,-0.174141,-0.093076,0.944768,2
17.6436,-0.173141,-0.092075,0.952774,2
17.6904,-0.181147,-0.093076,0.929755,2
17.7372,-0.174141,-0.085069,0.952774,2
17.784,-0.170138,-0.088072,0.965785,2
17.8308,-0.169137,-0.090073,0.962782,2
17.8776,-0.162132,-0.093076,0.978795,2
17.9244,-0.179146,-0.090073,0.953775,2
17.9712,-0.164133,-0.08607,0.967786,2
18.018,-0.164133,-0.092075,0.958779,2
18.0648,-0.178145,-0.088072,0.965785,2
18.1116,-0.174141,-0.085069,0.952774,2
18.1584,-0.159129,-0.085069,0.975793,2
18.2052,-0.168137,-0.094076,0.93576,2
18.252,-0.169137,-0.094076,0.958779,2
18.2988,-0.168137,-0.092075,0.960781,2
18.3456,-0.164133,-0.090073,0.963783,2
18.3924,-0.156127,-0.083067,0.976794,2
18.4392,-0.169137,-0.091074,0.954776,2
18.486,-0.175142,-0.095077,0.957778,2
18.5328,-0.170138,-0.089072,0.957778,2
18.5796,-0.167136,-0.089072,0.968787,2
18.6264,-0.168137,-0.094076,0.937762,2
18.6732,-0.174141,-0.100081,0.953775,2
18.72,-0.170138,-0.096078,0.956777,2
18.7668,-0.178145,-0.091074,0.95978,2
18.8136,-0.181147,-0.096078,0.943767,2
18.8604,-0.169137,-0.096078,0.957778,2
18.9072,-0.175142,-0.09808,0.949772,2
18.954,-0.173141,-0.096078,0.948771,2
19.0008,-0.17214,-0.092075,0.957778,2
19.0476,-0.177144,-0.087071,0.94777,2
19.0944,-0.173141,-0.088072,0.936761,2
19.1412,-0.174141,-0.095077,0.95978,2
19.188,-0.168137,-0.094076,0.965785,2
19.2348,-0.166135,-0.089072,0.965785,2
19.2816,-0.164133,-0.092075,0.987803,2
19.3284,-0.159129,-0.08607,0.974792,2
