time(second),IR,RED,,,,,,,,,
4.36,216673,228208,,,,,,,,,
4.38,216599,228232,,,,,,,,,
4.4,216668,228238,,,,,,,,,
4.42,216652,228275,,,,,,,,,
4.44,216695,228259,,,,,,,,,
4.46,216639,228253,,,,,,,,,
4.48,216721,228317,,,,,,,,,
4.5,216687,228341,,,,,,,,,
4.52,216743,228367,,,,,,,,,
4.54,216854,228418,,,,,,,,,
4.56,216682,228588,,,,,,,,,
4.58,216915,228570,,,,,,,,,
4.6,216803,228569,,,,,,,,,
4.62,216876,228698,,,,,,,,,
4.64,216847,228707,,,,,,,,,
4.66,216862,228899,,,,,,,,,
4.68,217043,228843,,,,,,,,,
4.7,216898,228940,,,,,,,,,
4.72,216925,228916,,,,,,,,,
4.74,217052,229007,,,,,,,,,
4.76,216913,229106,,,,,,,,,
4.78,216981,229067,,,,,,,,,
4.8,217126,229203,,,,,,,,,
4.82,216952,229297,,,,,,,,,
4.84,217048,229269,,,,,,,,,
4.86,217157,229393,,,,,,,,,
4.88,217004,229465,,,,,,,,,
4.9,217100,229506,,,,,,,,,
4.92,217281,229607,,,,,,,,,
4.94,217160,229653,,,,,,,,,
4.96,217172,229854,,,,,,,,,
4.98,217334,229793,,,,,,,,,
5,217222,229859,,,,,,,,,
5.02,217224,229903,,,,,,,,,
5.04,217375,229896,,,,,,,,,
5.06,217166,229731,,,,,,,,,
5.08,217123,229577,,,,,,,,,
5.1,217193,229128,,,,,,,,,
5.12,216970,228879,,,,,,,,,
5.14,216860,228750,,,,,,,,,
5.16,216946,228399,,,,,,,,,
5.18,216774,228265,,,,,,,,,
5.2,216671,228232,,,,,,,,,
5.22,216783,227915,,,,,,,,,
5.24,216623,227818,,,,,,,,,
5.26,216555,227810,,,,,,,,,
5.28,216660,227691,,,,,,,,,
5.3,216483,227799,,,,,,,,,
5.32,216705,227751,,,,,,,,,
5.34,216494,227854,,,,,,,,,
5.36,216723,227793,,,,,,,,,
5.38,216535,227862,,,,,,,,,
5.4,216711,227840,,,,,,,,,
5.42,216560,227890,,,,,,,,,
5.44,216729,227857,,,,,,,,,
5.46,216617,227927,,,,,,,,,
5.48,216718,227921,,,,,,,,,
5.5,216653,227974,,,,,,,,,
5.52,216718,228046,,,,,,,,,
5.54,216672,228082,,,,,,,,,
5.56,216750,228130,,,,,,,,,
5.58,216844,228123,,,,,,,,,
5.6,216706,228363,,,,,,,,,
5.62,216930,228328,,,,,,,,,
5.64,216785,228410,,,,,,,,,
5.66,216861,228448,,,,,,,,,
5.68,216902,228520,,,,,,,,,
5.7,216872,228564,,,,,,,,,
5.72,216960,228664,,,,,,,,,
5.74,216942,228643,,,,,,,,,
5.76,216996,228800,,,,,,,,,
5.78,217046,228775,,,,,,,,,
5.8,217045,228921,,,,,,,,,
5.82,217006,229044,,,,,,,,,
5.84,217155,228999,,,,,,,,,
5.86,217094,229127,,,,,,,,,
5.88,217052,229291,,,,,,,,,
5.9,217218,229261,,,,,,,,,
5.92,217138,229313,,,,,,,,,
5.94,217101,229492,,,,,,,,,
5.96,217291,229480,,,,,,,,,
5.98,217103,229587,,,,,,,,,
6,217218,229586,,,,,,,,,
6.02,217326,229632,,,,,,,,,
6.04,217154,229566,,,,,,,,,
6.06,217158,229338,,,,,,,,,
6.08,217117,229155,,,,,,,,,
6.1,216943,228874,,,,,,,,,
6.12,216955,228713,,,,,,,,,
6.14,216904,228518,,,,,,,,,
6.16,216778,228370,,,,,,,,,
6.18,216805,228285,,,,,,,,,
6.2,216749,228115,,,,,,,,,
6.22,216679,228064,,,,,,,,,
6.24,216721,228008,,,,,,,,,
6.26,216583,227984,,,,,,,,,
6.28,216671,228021,,,,,,,,,
6.3,216572,228076,,,,,,,,,
6.32,216705,228118,,,,,,,,,
